supplier_name,industry
万马科技股份有限公司,电子元器件
TCL中环新能源科技股份有限公司,半导体
一汽解放集团股份有限公司,汽车零部件
七丰精工科技股份有限公司,机械设备
上海众辰电子科技股份有限公司,工业自动化
三川智慧科技股份有限公司,仪器仪表与传感器
万控智造股份有限公司,电气设备
上海市翔丰华科技股份有限公司,光伏、储能与新能源设备
三祥新材股份有限公司,金属与基础材料
万凯新材料股份有限公司,化工与新材料
三力士股份有限公司,橡胶与塑料制品
上海凯赛生物技术股份有限公司,纺织与工业用布
上海凯利泰医疗科技股份有限公司,医疗器械
一品红药业集团股份有限公司,医药与原料药制造
上海翔港包装科技股份有限公司,包装、纸制品与印刷材料
三未信安科技股份有限公司,电子元器件
TCL科技集团股份有限公司,半导体
万向钱潮股份公司,汽车零部件
万向新元科技股份有限公司,机械设备
上海威贸电子股份有限公司,工业自动化
上海博迅医疗生物仪器股份有限公司,仪器仪表与传感器
三一重能股份有限公司,电气设备
上海普利特复合材料股份有限公司,光伏、储能与新能源设备
上海中洲特种合金材料股份有限公司,金属与基础材料
万华化学集团股份有限公司,化工与新材料
三维控股集团股份有限公司,橡胶与塑料制品
上海嘉麟杰纺织品股份有限公司,纺织与工业用布
上海康德莱企业发展集团股份有限公司,医疗器械
万泽实业股份有限公司,医药与原料药制造
上海艾录包装股份有限公司,包装、纸制品与印刷材料
上海剑桥科技股份有限公司,电子元器件
三安光电股份有限公司,半导体
万通智控科技股份有限公司,汽车零部件
三一重工股份有限公司,机械设备
上海步科自动化股份有限公司,工业自动化
上海威尔泰工业自动化股份有限公司,仪器仪表与传感器
三友联众集团股份有限公司,电气设备
上海欧普泰科技创业股份有限公司,光伏、储能与新能源设备
上海华峰铝业股份有限公司,金属与基础材料
三棵树涂料股份有限公司,化工与新材料
三角轮胎股份有限公司,橡胶与塑料制品
上海水星家用纺织品股份有限公司,纺织与工业用布
上海微创心脉医疗科技(集团)股份有限公司,医疗器械
万邦德医药控股集团股份有限公司,医药与原料药制造
上海顺灏新材料科技股份有限公司,包装、纸制品与印刷材料
上海华测导航技术股份有限公司,电子元器件
上海华岭集成电路技术股份有限公司,半导体
上海保隆汽车科技股份有限公司,汽车零部件
三丰智能装备集团股份有限公司,机械设备
上海电气集团股份有限公司,工业自动化
上海宏英智能科技股份有限公司,仪器仪表与传感器
三变科技股份有限公司,电气设备
上海派能能源科技股份有限公司,光伏、储能与新能源设备
上海宝钢包装股份有限公司,金属与基础材料
上海保立佳化工股份有限公司,化工与新材料
上海亚虹模具股份有限公司,橡胶与塑料制品
上海璞源化学材料集团股份有限公司,纺织与工业用布
